dataset,category,mode,n_seeds,metric,mean,std,min,max
mvtec,wood,k4,5,Pixel AP,0.6346,0.0624,0.5447,0.6880
mvtec,wood,k4,5,Pixel F1,0.5994,0.0447,0.5351,0.6361
mvtec,wood,k4,5,Pixel PRO,0.8751,0.0409,0.8286,0.9310
mvtec,zipper,k1,4,Image AUROC,0.9878,0.0037,0.9819,0.9919
mvtec,zipper,k1,4,Image AP,0.9970,0.0009,0.9957,0.9981
mvtec,zipper,k1,4,Image F1,0.9778,0.0036,0.9741,0.9833
mvtec,zipper,k1,4,Pixel AUROC,0.9539,0.0038,0.9504,0.9601
mvtec,zipper,k1,4,Pixel AP,0.5197,0.0242,0.4950,0.5576
mvtec,zipper,k1,4,Pixel F1,0.5160,0.0185,0.4970,0.5407
mvtec,zipper,k1,4,Pixel PRO,0.8632,0.0135,0.8522,0.8857
mvtec,zipper,k2,4,Image AUROC,0.9929,0.0022,0.9903,0.9963
mvtec,zipper,k2,4,Image AP,0.9982,0.0005,0.9977,0.9991
mvtec,zipper,k2,4,Image F1,0.9854,0.0036,0.9833,0.9916
mvtec,zipper,k2,4,Pixel AUROC,0.9603,0.0042,0.9551,0.9659
mvtec,zipper,k2,4,Pixel AP,0.5454,0.0374,0.4854,0.5835
mvtec,zipper,k2,4,Pixel F1,0.5331,0.0355,0.4744,0.5659
mvtec,zipper,k2,4,Pixel PRO,0.8820,0.0124,0.8662,0.8967
mvtec,zipper,k4,5,Image AUROC,0.9940,0.0034,0.9882,0.9976
mvtec,zipper,k4,5,Image AP,0.9985,0.0008,0.9971,0.9994
mvtec,zipper,k4,5,Image F1,0.9874,0.0038,0.9831,0.9916
mvtec,zipper,k4,5,Pixel AUROC,0.9570,0.0153,0.9295,0.9763
mvtec,zipper,k4,5,Pixel AP,0.5548,0.0694,0.4350,0.6494
mvtec,zipper,k4,5,Pixel F1,0.5387,0.0571,0.4390,0.6148
mvtec,zipper,k4,5,Pixel PRO,0.8720,0.0408,0.7986,0.9215
simplenet,bottle,k1,5,Image AUROC,0.9995,0.0006,0.9984,1.0000
simplenet,bottle,k1,5,Image AP,0.9999,0.0002,0.9995,1.0000
simplenet,bottle,k1,5,Image F1,0.9968,0.0039,0.9920,1.0000
simplenet,bottle,k1,5,Pixel AUROC,0.9733,0.0042,0.9667,0.9787
simplenet,bottle,k1,5,Pixel AP,0.7474,0.0225,0.7039,0.7678
simplenet,bottle,k1,5,Pixel F1,0.7214,0.0172,0.6904,0.7402
simplenet,bottle,k1,5,Pixel PRO,0.9091,0.0144,0.8909,0.9319
